ProbeName	circRNA
ASCRP3000572	hsa_circRNA_103179
ASCRP3000573	hsa_circRNA_102674
ASCRP3000574	hsa_circRNA_405736
ASCRP3000575	hsa_circRNA_100445
ASCRP3000576	hsa_circRNA_102459
ASCRP3000577	hsa_circRNA_405953
ASCRP3000578	hsa_circRNA_407076
ASCRP3000579	hsa_circRNA_100213
ASCRP3000580	hsa_circRNA_400270
ASCRP3000581	hsa_circRNA_002979
ASCRP3000582	hsa_circRNA_017215
ASCRP3000583	hsa_circRNA_092470
ASCRP3000584	hsa_circRNA_000931
ASCRP3000585	hsa_circRNA_102726
ASCRP3000586	hsa_circRNA_074018
ASCRP3000587	hsa_circRNA_007672
ASCRP3000588	hsa_circRNA_407261
ASCRP3000589	hsa_circRNA_101343
ASCRP3000590	hsa_circRNA_101382
ASCRP3000591	hsa_circRNA_102823
ASCRP3000592	hsa_circRNA_103676
ASCRP3000593	hsa_circRNA_058188
ASCRP3000594	hsa_circRNA_039934
ASCRP3000595	hsa_circRNA_404729
ASCRP3000596	hsa_circRNA_002115
ASCRP3000597	hsa_circRNA_002004
ASCRP3000598	hsa_circRNA_104371
ASCRP3000599	hsa_circRNA_100363
ASCRP3000600	hsa_circRNA_102332
ASCRP3000601	hsa_circRNA_406863
ASCRP3000602	hsa_circRNA_063147
ASCRP3000603	hsa_circRNA_102631
ASCRP3000604	hsa_circRNA_406336
ASCRP3000605	hsa_circRNA_406757
ASCRP3000606	hsa_circRNA_101797
ASCRP3000607	hsa_circRNA_401965
ASCRP3000608	hsa_circRNA_402819
ASCRP3000609	hsa_circRNA_009074
ASCRP3000610	hsa_circRNA_404077
ASCRP3000611	hsa_circRNA_006515
ASCRP3000612	hsa_circRNA_037192
ASCRP3000613	hsa_circRNA_003998
ASCRP3000614	hsa_circRNA_066970
ASCRP3000615	hsa_circRNA_102711
ASCRP3000616	hsa_circRNA_401876
ASCRP3000617	hsa_circRNA_404026
ASCRP3000618	hsa_circRNA_104520
ASCRP3000619	hsa_circRNA_003131
ASCRP3000620	hsa_circRNA_404529
ASCRP3000621	hsa_circRNA_402608
ASCRP3000622	hsa_circRNA_400298
ASCRP3000623	hsa_circRNA_101467
ASCRP3000624	hsa_circRNA_007136
ASCRP3000625	hsa_circRNA_101418
ASCRP3000626	hsa_circRNA_030340
ASCRP3000627	hsa_circRNA_011588
ASCRP3000628	hsa_circRNA_000104
ASCRP3000629	hsa_circRNA_101490
ASCRP3000630	hsa_circRNA_102560
ASCRP3000631	hsa_circRNA_403194
ASCRP3000632	hsa_circRNA_401140
ASCRP3000633	hsa_circRNA_405832
ASCRP3000634	hsa_circRNA_021714
ASCRP3000635	hsa_circRNA_000624
ASCRP3000636	hsa_circRNA_402767
ASCRP3000637	hsa_circRNA_102347
ASCRP3000638	hsa_circRNA_001152
ASCRP3000639	hsa_circRNA_005135
ASCRP3000640	hsa_circRNA_044097
ASCRP3000641	hsa_circRNA_105033
ASCRP3000642	hsa_circRNA_049851
ASCRP3000643	hsa_circRNA_103700
ASCRP3000644	hsa_circRNA_103773
ASCRP3000645	hsa_circRNA_031607
ASCRP3000646	hsa_circRNA_103515
ASCRP3000647	hsa_circRNA_104396
ASCRP3000648	hsa_circRNA_026129
ASCRP3000649	hsa_circRNA_104527
ASCRP3000650	hsa_circRNA_060078
ASCRP3000651	hsa_circRNA_100800
ASCRP3000652	hsa_circRNA_036389
ASCRP3000653	hsa_circRNA_405987
ASCRP3000654	hsa_circRNA_100786
ASCRP3000655	hsa_circRNA_007878
ASCRP3000656	hsa_circRNA_103854
ASCRP3000657	hsa_circRNA_003850
ASCRP3000658	hsa_circRNA_402621
ASCRP3000659	hsa_circRNA_103344
ASCRP3000660	hsa_circRNA_001314
ASCRP3000661	hsa_circRNA_008289
ASCRP3000662	hsa_circRNA_407025
ASCRP3000663	hsa_circRNA_406402
